"","state","self_employed","divorce_marriage","living_alone","living_alone_65over","living_grandchildren","carpool_drive_alone","libertarian_vote","religious_adherents","living_alone_reverse","living_alone_65over_reverse","divorce_marriage_reverse","libertarian_vote_reverse","self_employed_reverse","state_collectivism_raw","state_collectivism_score"
"1","Alabama",0.08967192,0.25691603,0.30379381,0.1239283,0.0380138,0.09792213,0.0100310225,0.636013446,0.69620619,0.8760717,3.89232232803846,0.9899689775,0.91032808,1.4049489921584,45.2728401163952
"2","Alaska",0.09903232,0.22471443,0.27537295,0.09208854,0.04060857,0.184803269,0.028247044,0.351817789,0.72462705,0.90791146,4.45009250184779,0.971752956,0.90096768,3.716729600473,54.7870699539993
"3","Arizona",0.09901929,0.2484001,0.27095697,0.11605411,0.03768574,0.141945037,0.01898754025,0.440657221,0.72904303,0.88394589,4.02576327465247,0.98101245975,0.90098071,1.52060178645844,45.7488140312096
"4","Arkansas",0.10203542,0.2657074,0.29229133,0.12110585,0.03794542,0.119241723,0.0141923925,0.577639428,0.70770867,0.87889415,3.76353838846792,0.9858076075,0.89796458,0.826961081699717,42.8941066830917
"5","California",0.11395531,0.19362614,0.23857093,0.09689278,0.04553889,0.139496259,0.01511122175,0.448336715,0.76142907,0.90310722,5.16459192958141,0.98488877825,0.88604469,6.77345559827398,67.3671537167319
"6","Colorado",0.11407493,0.22756832,0.27876854,0.10043572,0.02790956,0.117372775,0.02155079275,0.354094436,0.72123146,0.89956428,4.39428475808935,0.97844920725,0.88592507,-1.76309486397439,32.2346230492351
"7","Connecticut",0.09713483,0.21978818,0.28704284,0.12376588,0.02553511,0.105036624,0.01215074125,0.473712015,0.71295716,0.87623412,4.54983520951855,0.98784925875,0.90286517,-0.543608313868262,37.2534709796343
"8","Delaware",0.0872011,0.22850983,0.28823393,0.12421337,0.0340574,0.106337031,0.013850017,0.413569198,0.71176607,0.87578663,4.37617935298451,0.986149983,0.9127989,-0.135937783587055,38.9312561073247
"9","Florida",0.1240274,0.26900412,0.28299667,0.12995663,0.03365882,0.121401393,0.00891576475,0.470794176,0.71700333,0.87004337,3.71741518308344,0.99108423525,0.8759726,-1.59879481376371,32.9108067815547
"10","Georgia",0.09896126,0.24158352,0.27502667,0.09863904,0.04059485,0.120903849,0.01546196425,0.507840993,0.72497333,0.90136096,4.13935520105014,0.98453803575,0.90103874,3.45304889860839,53.7018809908868
"11","Hawaii",0.11110535,0.1877784,0.2453865,0.11012676,0.05562079,0.208105922,0.01441783575,0.414857439,0.7546135,0.88987324,5.32542614059977,0.98558216425,0.88889465,10.2388442735105,81.6291058302883
"12","Idaho",0.12356562,0.21720756,0.24736608,0.10771734,0.02893319,0.11613126,0.0200046585,0.527376345,0.75263392,0.89228266,4.60389131943658,0.9799953415,0.87643438,1.01901417116994,43.6845092099015
"13","Illinois",0.08676277,0.20487438,0.30409633,0.12109518,0.03032555,0.112870664,0.01579242525,0.508125575,0.69590367,0.87890482,4.88103978642913,0.98420757475,0.91323723,0.838835238407085,42.9429752719342
"14","Indiana",0.07754736,0.25246607,0.29434134,0.11593438,0.0299434,0.115261785,0.0245623135,0.421402579,0.70565866,0.88406562,3.96092829424564,0.9754376865,0.92245264,-1.58590748991266,32.9638451021763
"15","Iowa",0.10110702,0.2108538,0.30200467,0.12596472,0.01872398,0.100981468,0.01512766275,0.448646849,0.69799533,0.87403528,4.74262261339373,0.98487233725,0.89889298,-3.07066532376002,26.8532621023881
"16","Kansas",0.09464095,0.22104602,0.29710657,0.12005816,0.02617074,0.111338858,0.02303002825,0.460277819,0.70289343,0.87994184,4.52394483284521,0.97696997175,0.90535905,-2.14353068461411,30.6689235088005
"17","Kentucky",0.08315115,0.26691622,0.29043209,0.12144975,0.0361802,0.115450277,0.01324644275,0.494089887,0.70956791,0.87855025,3.74649393731112,0.98675355725,0.91684885,0.890543790934759,43.1557839837768
"18","Louisiana",0.10307404,0.26792933,0.30750358,0.12020978,0.03778241,0.108644416,0.0094748365,0.633227538,0.69249642,0.87979022,3.73232747605497,0.9905251635,0.89692596,0.967232538969865,43.4713997356089
"19","Maine",0.12847359,0.2715017,0.30832925,0.14338334,0.01826096,0.118842069,0.01998607425,0.307938656,0.69167075,0.85661666,3.68321818979402,0.98001392575,0.87152641,-9.59550776060435,0
"20","Maryland",0.08653857,0.20878375,0.279215,0.11185295,0.03580029,0.114984733,0.01363489275,0.434715982,0.720785,0.88814705,4.78964478796841,0.98636510725,0.91346143,2.77121420147972,50.8957617612317
"21","Massachusetts",0.08782305,0.20080683,0.28542956,0.1227598,0.02785037,0.109152683,0.01691523275,0.486402613,0.71457044,0.8772402,4.97991029488389,0.98308476725,0.91217695,0.717906415049292,42.4452876387396
"22","Michigan",0.08446667,0.24401658,0.30073907,0.12657071,0.02584547,0.105563224,0.013288098,0.396790083,0.69926093,0.87342929,4.09808218769397,0.986711902,0.91553333,-2.24135188007259,30.2663362852405
"23","Minnesota",0.09173639,0.19928508,0.29057242,0.1181122,0.01913122,0.108034273,0.01603508125,0.494940326,0.70942758,0.8818878,5.01793711802208,0.98396491875,0.90826361,-0.20978134223547,38.6273498514798
"24","Mississippi",0.08853038,0.25670365,0.29382958,0.12082114,0.04422093,0.106296894,0.00629973075,0.594315834,0.70617042,0.87917886,3.89554258383159,0.99370026925,0.91146962,3.44955917871126,53.6875189026113
"25","Missouri",0.08855479,0.24776411,0.30549675,0.12346949,0.02849504,0.102874932,0.01695591825,0.484083853,0.69450325,0.87653051,4.03609707636832,0.98304408175,0.91144521,-2.03630371246036,31.1102205999656
"26","Montana",0.15013097,0.24534351,0.30937765,0.13411066,0.0229983,0.132190195,0.028497076,0.348371417,0.69062235,0.86588934,4.07591788346062,0.971502924,0.84986903,-9.43017718783242,0.680424891046088
"27","Nebraska",0.10589904,0.20044942,0.30024769,0.11965161,0.02131635,0.110416667,0.0211860515,0.492773912,0.69975231,0.88034839,4.98878969068606,0.9788139485,0.89410096,-2.17661756141308,30.5327530827048
"28","Nevada",0.09202126,0.29541595,0.27942778,0.10516203,0.04115928,0.145578796,0.014737287,0.416083288,0.72057222,0.89483797,3.3850575772906,0.985262713,0.90797874,2.38274252584965,49.2969903232974
"29","New Hampshire",0.09337128,0.23547801,0.27053691,0.12221802,0.02454204,0.094771182,0.01829572475,0.272188825,0.72946309,0.87778198,4.24668103828464,0.98170427525,0.90662872,-3.80604673813114,23.8267691170827
"30","New Jersey",0.08686987,0.17441053,0.26326508,0.11673883,0.03169564,0.11695693,0.00840866925,0.521742182,0.73673492,0.88326117,5.73359876837712,0.99159133075,0.91313013,6.02588288308656,64.2904869227318
"31","New Mexico",0.09842296,0.30578092,0.31587792,0.13226024,0.0382839,0.129366812,0.03634316525,0.525131262,0.68412208,0.86773976,3.27031523091761,0.96365683475,0.90157704,-5.26707512454096,17.8138456512608
"32","New York",0.09515756,0.20067898,0.3031004,0.12662596,0.03240757,0.125232206,0.0058677845,0.51222318,0.6968996,0.87337404,4.98308293175498,0.9941322155,0.90484244,2.63669511364527,50.342142825854
"33","North Carolina",0.09604507,0.22092281,0.29049978,0.11452069,0.03178631,0.114676677,0.0130254325,0.521461316,0.70950022,0.88547931,4.52646786449982,0.9869745675,0.90395493,1.6158661407613,46.1408784679943
"34","North Dakota",0.1097655,0.18600372,0.33231054,0.11754854,0.01603993,0.104621618,0.02717500875,0.550186499,0.66768946,0.88245146,5.37623656129028,0.97282499125,0.8902345,-4.29794714742166,21.8023323974523
"35","Ohio",0.0792983,0.25337377,0.31445515,0.12882093,0.02758946,0.097553584,0.013878533,0.478517131,0.68554485,0.87117907,3.94673844889311,0.986121467,0.9207017,-2.30062709230453,30.0223866687331
"36","Oklahoma",0.10414697,0.26231534,0.29128968,0.11959393,0.03536459,0.118019964,0.0183251635,0.611747172,0.70871032,0.88040607,3.81220556906813,0.9816748365,0.89585303,0.253265545665425,40.5330386963604
"37","Oregon",0.11224505,0.26222709,0.27985781,0.12108103,0.02589895,0.130160444,0.020559326,0.331812144,0.72014219,0.87891897,3.81348853011335,0.979440674,0.88775495,-3.85182764226291,23.6383558902755
"38","Pennsylvania",0.07994228,0.20315637,0.30261025,0.13300795,0.02752297,0.108743472,0.011871867,0.468929145,0.69738975,0.86699205,4.92231673562586,0.988128133,0.92005772,0.202330950615406,40.3234152389059
"39","Rhode Island",0.0827663,0.24935387,0.3045308,0.13232644,0.02751476,0.099844423,0.0135777745,0.515091869,0.6954692,0.86767356,4.01036486820918,0.9864222255,0.9172337,-1.6913147250154,32.5300372149975
"40","South Carolina",0.09545491,0.21994665,0.29111332,0.1190553,0.03556011,0.106751242,0.01165036025,0.526704992,0.70888668,0.8809447,4.54655708554779,0.98834963975,0.90454509,1.67544332202443,46.3860708506863
"41","South Dakota",0.12194821,0.20762818,0.30805394,0.1229989,0.02251045,0.099447764,0.02583079425,0.553788514,0.69194606,0.8770011,4.81630191046321,0.97416920575,0.87805179,-4.53850284768346,20.8123153461781
"42","Tennessee",0.09476166,0.24777507,0.28934695,0.11544736,0.03643176,0.108093049,0.0121412615,0.556366086,0.71065305,0.88455264,4.03591854499325,0.9878587385,0.90523834,1.65019192496012,46.2821476693401
"43","Texas",0.10255327,0.2066149,0.25673699,0.08571931,0.04347823,0.129499678,0.0151980575,0.550530142,0.74326301,0.91428069,4.83992199981705,0.9848019425,0.89744673,7.37689895449737,69.8506501023471
"44","Utah",0.0946384,0.15870356,0.19897744,0.07544652,0.03714134,0.139068672,0.0201286075,0.760960638,0.80102256,0.92455348,6.30105588053601,0.9798713925,0.9053616,14.7026293222049,100
"45","Vermont",0.13095362,0.26151074,0.31011292,0.14397159,0.01795876,0.114670316,0.01402682025,0.37634218,0.68988708,0.85602841,3.82393472635197,0.98597317975,0.86904638,-8.15485387312586,5.92907136283194
"46","Virginia",0.08477112,0.20323616,0.27976038,0.11148023,0.03304138,0.117283018,0.0138215635,0.459984269,0.72023962,0.88851977,4.92038424658289,0.9861784365,0.91522888,3.12586010993508,52.3553218388076
"47","Washington",0.09689729,0.22356771,0.26965749,0.10524282,0.0295336,0.134644683,0.02147204825,0.413320552,0.73034251,0.89475718,4.47291784667831,0.97852795175,0.90310271,1.18863352743733,44.3825847689014
"48","West Virginia",0.06651617,0.27844709,0.31186666,0.14598207,0.03415996,0.102007301,0.013808648,0.377781656,0.68813334,0.85401793,3.5913465642611,0.986191352,0.93348383,-3.3071047455472,25.8801857674354
"49","Wisconsin",0.08448835,0.21970115,0.3074874,0.12528283,0.01801201,0.095468986,0.014284361,0.480442736,0.6925126,0.87471717,4.55163753125553,0.985715639,0.91551165,-2.38308266504976,29.6830373084747
"50","Wyoming",0.11771653,0.23211342,0.30319958,0.12451528,0.02183056,0.125508046,0.0248879195,0.403944866,0.69680042,0.87548472,4.30823861886142,0.9751120805,0.88228347,-5.2956747674053,17.6961426242062
